Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-05,The Beak and Barrel,Magic Kingdom,Island Provisions,From the Galley,Lunch; Dinner,"Plantain Chips, Blue Corn Tortillas, and Toasted Flatbread served with Mango Chutney, Garlic Chimichurri, Spiced Guava, and Zesty Culantro Cream Dips",16.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Cook’s Corn Griddle Cakes with Chipotle-braised Chicken,From the Galley,Lunch; Dinner,"Warm Corn Cakes stuffed with Melted Cheese, Lime Sour Cream, Chili Peppers, and Cotija",14.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Cook’s Corn Griddle Cakes with Roasted Corn and Poblano Peppers,From the Galley,Lunch; Dinner,"Warm Corn Cakes stuffed with Melted Cheese, Lime Sour Cream, Chili Peppers, and Cotija",12.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Kraken’s Catch,From the Galley,Lunch; Dinner,"Octopus Tentacles marinated in Lemon and Lime Juice with Olives, Bell Peppers, Avocado, and Piquillo Pepper-Almond Foam",18.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Cursed Treasure,Non-Alcoholic Specialty Beverages,Lunch; Dinner,An indulgent blend of Coconut Milk and Cookie Crumbs topped with Vanilla Foam and Pirate’s Gold,7.75,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Treasure Trove,Non-Alcoholic Specialty Beverages,Lunch; Dinner,"Your choice of a mysterious Ube, Lemon, and Coconut Concoction or a tropical infusion of Sprite®, Pineapple, Mango, and Guava served with a Vanilla Cake Plank, Chocolate Cannonball, and Golden Caramel Popcorn",13.75,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Siren’s Whisper,Signature Cocktails,Lunch; Dinner,"Pot & Column Still White Rum Blend, Bols Blue Curaçao Liqueur, Combier Crème de Pêche de Vigne Liqueur, Lime, and Cinnamon",20.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Port of Call,Signature Cocktails,Lunch; Dinner,"London Dry Gin, Ruby Port, Lemon Juice, and Spiced Cranberry",19.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Lit Fuse,Signature Cocktails,Lunch; Dinner,"Los Siete Misterios Doba-Yej Mezcal, Tempus Fugit Crème de Banane Liqueur, Coconut Water, Lime Juice, and Hella Cocktail Co. Smoked Chili Bitters",18.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Barrels Ablaze,Signature Cocktails,Lunch; Dinner,"Jack Daniel's Bonded Tennessee Whiskey, Honey, Lemon, and Chile",19.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Hibiscus Rum Punch Royale,Signature Cocktails,Lunch; Dinner,"Don Q Reserva 7 Puerto Rican Rum, Hibiscus, and Lime topped with Prosecco",19.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Salty Seas mARRRgarita,Signature Cocktails,Lunch; Dinner,"Lalo Blanco Tequila, Cointreau Liqueur, Ube, and Lime",20.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Plunderer’s Punch,Signature Cocktails,Lunch; Dinner,"The Kraken Black Spiced Rum, Blackberry, Lime, and Vanilla served in a Souvenir Pirate Skull Mug",46.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,"Viarae Prosecco D.O.C., Veneto, Italy",Wine,Lunch; Dinner,,11.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,"Quinta de Santiago Vinho Verde, Vinho Verde, Portugal",Wine,Lunch; Dinner,,16.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,"Spice Route ‘Chakalaka’ Red Blend, Swartland, South Africa",Wine,Lunch; Dinner,,19.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Pirate’s Paradise Blonde Ale (Victory Brewing Co.),Draft Beer,Lunch; Dinner,,11.75,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Berried Treasure Session Sour (Wicked Weed Brewing),Draft Beer,Lunch; Dinner,,13.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Modelo Especial Lager,Bottled & Canned,Lunch; Dinner,,10.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Red Stripe Lager,Bottled & Canned,Lunch; Dinner,,10.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Bell’s Two Hearted IPA,Bottled & Canned,Lunch; Dinner,,12.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Athletic Brewing Co Upside Dawn Golden (Non-Alcoholic),Bottled & Canned,Lunch; Dinner,,8.50,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Foursquare Rum Distillery Exceptional Cask Selection Mark XXVIII,Reserve Rum Selections (2-oz pour),Lunch; Dinner,,45.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Flor de Caña 25 yr Rum,Reserve Rum Selections (2-oz pour),Lunch; Dinner,,45.00,magic-kingdom/beak-barrel
2026-09-05,The Beak and Barrel,Magic Kingdom,Diplomático Ambassador Selection Rum,Reserve Rum Selections (2-oz pour),Lunch; Dinner,,55.00,magic-kingdom/beak-barrel
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue All-Beef Foot-long Hot Dog,Featured Offerings,Lunch And Dinner,"Topped with Pulled Pork, Slaw, and Chipotle Barbecue Sauce",16.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue All-Beef Hot Dog,Featured Offerings,Lunch And Dinner,"Topped with Pulled pork, Slaw, and Chipotle Barbecue Sauce",15.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Baseball Brownie,Featured Offerings,Lunch And Dinner,"Topped with Caramel Corn Mousse, Dulce de Leche, and coated in White Chocolate",5.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Frozen Mint Julep Lemonade,Specialty Beverages,Lunch And Dinner; Special Ticketed Event,"classically blended Mint Julep featuring Minute Maid® Premium Lemonade, topped with fresh Mint Leaves, Cherry and Lemon",7.29,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chili-Cheese All-Beef Foot-long Hot Dog,Entrées,Lunch And Dinner; Special Ticketed Event,All-Beef Foot-long Hot Dog topped with Chili and Cheese,15.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chili-Cheese All-Beef Hot Dog,Entrées,Lunch And Dinner; Special Ticketed Event,All-Beef Hot Dog topped with Chili and Cheese,13.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,All-Beef Foot-long Hot Dog,Entrées,Lunch And Dinner; Special Ticketed Event,Served with a choice of French Fries or a Cuties® Mandarin,13.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Mini Corn Dogs,Entrées,Lunch And Dinner; Special Ticketed Event,Served with a choice of French Fries or a Cuties® Mandarin,10.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,All-Beef Hot Dog,Entrées,Lunch And Dinner; Special Ticketed Event,Served with a choice of French Fries or a Cuties® Mandarin,11.79,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Plant-based Chicago-style Dog,Plant-Based,Lunch And Dinner; Special Ticketed Event,"Plant-based ""Sausage"" topped with Diced Tomatoes, Onions, Yellow Mustard, and Chicago Green Relish",13.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Plant-based Dog,Plant-Based,Lunch And Dinner; Special Ticketed Event,"Plant-based ""Sausage"" in a Potato Bun served with French Fries or a Cuties® Mandarin",11.79,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue Loaded Fries,Sides,Lunch And Dinner,"Topped with Pulled Pork, Slaw, and Chipotle Barbecue Sauce",8.29,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chili-Cheese French Fries,Snacks,Lunch And Dinner; Special Ticketed Event,,7.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chili,Snacks,Lunch And Dinner; Special Ticketed Event,,4.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,French Fries,Snacks,Lunch And Dinner; Special Ticketed Event,,4.49,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Cuties® Mandarin,Snacks,Lunch And Dinner; Special Ticketed Event,3-pack,4.19,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Cheese Sauce,Snacks,Lunch And Dinner; Special Ticketed Event,,1.00,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Assorted Fountain Beverages,Beverages,Lunch And Dinner; Special Ticketed Event,Assorted Coca-Cola® Offerings,5.59,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Large Freshly Brewed Joffrey's Coffee™ Regular,Beverages,Lunch And Dinner; Special Ticketed Event,,5.19,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Large Freshly Brewed Joffrey's Coffee™ Decaf,Beverages,Lunch And Dinner; Special Ticketed Event,,5.19,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Large Hot Cocoa,Beverages,Lunch And Dinner; Special Ticketed Event,,5.19,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Minute Maid® Apple Juice,Beverages,Lunch And Dinner; Special Ticketed Event,,4.59,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chocolate Milk,Beverages,Lunch And Dinner; Special Ticketed Event,,4.79,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,DASANI® Bottled Water,Beverages,Lunch And Dinner; Special Ticketed Event,,4.25,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Freshly Brewed Joffrey's Coffee™ Regular,Beverages,Lunch And Dinner; Special Ticketed Event,,4.29,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Freshly Brewed Joffrey's Coffee™ Decaf,Beverages,Lunch And Dinner; Special Ticketed Event,,4.29,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue Pork and Street Corn Hot Dog,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"All-Beef Hot Dog topped with Fire-roasted Corn, Queso Fresco, Jalapeño Ranch, and Cilantro",14.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue Pork and Street Corn Mini Corn Dogs,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"Mini Corn Dogs topped with Fire-roasted Corn, Queso Fresco, Jalapeño Ranch, and Cilantro",10.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Chipotle Barbecue Pork and Street Corn French Fries,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"French Fries topped with Fire-roasted Corn, Queso Fresco, Jalapeño Ranch, and Cilantro",7.99,magic-kingdom/caseys-corner
2026-09-05,Casey's Corner,Magic Kingdom,Headless Horseman Treat,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"Pumpkin Pie Tart topped with Whipped Cheesecake, Spiced Caramel Panna Cotta, Candied Pecans, and Marshmallow Buttercream ""Flames""",6.99,magic-kingdom/caseys-corner
